 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
708;-11;41;1031;-41;24;978;854;-610;-305;
714;-15;46;1027;-43;24;978;854;-732;-305;
720;-5;41;1037;-43;24;978;854;-732;-305;
726;-15;42;1029;-41;22;979;915;-732;-366;
732;-11;39;1027;-41;22;979;915;-732;-366;
738;-17;42;1025;-43;22;980;854;-671;-366;
744;-15;39;1031;-43;22;980;854;-671;-366;
750;-7;42;1029;-43;25;977;915;-671;-305;
756;-17;37;1031;-41;24;977;915;-671;-305;
762;-11;41;1031;-41;24;977;915;-671;-305;
768;-17;37;1031;-40;24;979;915;-671;-305;
774;-19;44;1029;-41;23;979;976;-732;-305;
780;-15;42;1027;-41;23;979;976;-732;-305;
786;-13;42;1027;-43;24;977;915;-671;-305;
792;-15;44;1027;-43;24;977;915;-671;-305;
798;-15;39;1027;-41;23;978;915;-732;-244;
804;-13;42;1027;-41;23;978;915;-732;-244;
810;-15;42;1025;-42;24;977;915;-732;-305;
816;-17;39;1029;-42;22;979;854;-671;-366;
822;-15;39;1031;-42;22;979;854;-671;-366;
828;-9;41;1025;-41;24;982;854;-671;-366;
834;-13;39;1029;-44;26;977;793;-732;-305;
840;-17;42;1027;-44;26;977;793;-732;-305;
846;-15;42;1029;-40;25;981;793;-732;-366;
852;-13;46;1031;-40;25;981;793;-732;-366;
858;-13;42;1027;-41;23;979;976;-671;-366;
864;-17;41;1025;-41;23;979;976;-671;-366;
870;-7;41;1027;-40;22;976;915;-671;-366;
876;-9;41;1031;-40;23;977;854;-610;-244;
882;-15;42;1029;-40;23;977;854;-610;-244;
888;-13;39;1027;-44;24;975;915;-671;-305;
894;-17;42;1025;-40;22;978;915;-732;-366;
900;-11;42;1031;-40;22;978;915;-732;-366;
906;-11;41;1029;-40;24;979;915;-671;-366;
912;-13;42;1029;-40;24;979;915;-671;-366;
918;-17;46;1031;-41;24;979;854;-671;-366;
924;-15;41;1031;-41;24;979;854;-671;-366;
930;-11;41;1029;-39;23;977;915;-671;-366;
936;-15;42;1029;-41;24;979;854;-671;-366;
942;-11;41;1027;-41;24;979;854;-671;-366;
948;-15;39;1029;-43;23;980;854;-610;-305;
954;-21;41;1029;-41;24;979;793;-732;-366;
960;-17;39;1023;-41;24;979;793;-732;-366;
966;-13;41;1031;-45;23;979;915;-732;-305;
972;-7;44;1023;-45;23;979;915;-732;-305;
978;-15;39;1029;-44;24;979;976;-671;-305;
984;-17;37;1025;-44;24;979;976;-671;-305;
990;-17;42;1029;-43;23;977;915;-610;-366;
996;-19;39;1027;-42;25;975;915;-732;-366;
1002;-19;46;1029;-42;25;975;915;-732;-366;
1008;-9;48;1025;-42;24;977;976;-671;-366;
1014;-21;42;1033;-43;23;978;915;-671;-366;
1020;-11;44;1025;-43;23;978;915;-671;-366;
1026;-19;41;1031;-41;23;979;854;-732;-305;
1032;-17;41;1033;-41;23;979;854;-732;-305;
1038;-13;42;1025;-39;25;980;915;-732;-244;
1044;-15;42;1031;-39;25;980;915;-732;-244;
1050;-15;41;1025;-42;25;979;915;-732;-305;
1056;-7;41;1027;-41;24;978;915;-732;-366;
1062;-17;39;1029;-41;24;978;915;-732;-366;
1068;-11;42;1029;-40;24;979;915;-610;-427;
1074;-11;41;1025;-41;22;981;915;-671;-305;
1080;-17;39;1025;-41;22;981;915;-671;-305;
1086;-15;39;1029;-41;25;979;915;-671;-305;
1092;-15;41;1029;-41;25;979;915;-671;-305;
1098;-15;42;1025;-41;24;979;854;-732;-305;
1104;-15;42;1029;-41;24;979;854;-732;-305;
1110;-15;41;1027;-41;26;979;854;-732;-244;
1116;-13;41;1027;-43;25;980;915;-671;-305;
1122;-13;41;1027;-43;25;980;915;-671;-305;
1128;-15;44;1023;-42;24;979;976;-671;-244;
1134;-5;42;1031;-41;21;978;915;-732;-305;
1140;-11;44;1031;-42;23;981;915;-732;-366;
1146;-13;42;1033;-44;23;979;915;-671;-366;
1152;-17;37;1031;-44;23;979;915;-671;-366;
1158;-13;39;1031;-44;23;979;915;-671;-366;
1164;-15;41;1031;-44;23;979;915;-671;-366;
1170;-15;42;1025;-43;23;980;915;-610;-244;
1176;-15;41;1027;-43;23;980;915;-610;-305;
1182;-11;39;1023;-43;23;980;915;-610;-305;
1188;-15;39;1031;-42;23;980;915;-610;-366;
1194;-11;41;1027;-41;23;980;854;-671;-305;
1200;-11;37;1029;-41;23;980;854;-671;-305;
1206;-13;41;1025;-43;24;980;854;-671;-366;
1212;-13;42;1025;-43;24;980;854;-671;-366;
1218;-15;39;1025;-42;25;979;915;-610;-244;
1224;-17;46;1031;-42;25;979;915;-610;-244;
1230;-15;41;1029;-40;24;978;1037;-732;-244;
1236;-9;41;1025;-41;23;979;915;-732;-305;
1242;-15;37;1029;-41;23;979;915;-732;-305;
1248;-15;44;1029;-41;25;977;854;-732;-366;
1254;-7;39;1031;-43;24;978;915;-732;-366;
1260;-23;41;1027;-43;24;978;915;-732;-366;
1266;-17;39;1027;-42;25;981;915;-610;-366;
1272;-9;41;1029;-42;25;981;915;-610;-366;
1278;-13;42;1033;-40;23;979;793;-671;-305;
1284;-15;39;1025;-40;23;979;793;-671;-305;
1290;-11;41;1029;-42;23;979;854;-671;-366;
1296;-11;42;1025;-43;23;978;915;-732;-305;
1302;-11;39;1027;-43;23;978;915;-732;-305;
1308;-11;41;1029;-41;26;980;915;-732;-366;
1314;-13;42;1027;-45;25;979;854;-671;-305;
1320;-17;41;1025;-45;25;979;854;-671;-305;
1326;-11;41;1033;-44;23;978;915;-549;-305;
1332;-15;39;1027;-44;23;978;915;-549;-305;
1338;-15;39;1033;-42;24;978;793;-610;-366;
1344;-11;41;1029;-42;24;978;793;-610;-366;
1350;-19;41;1035;-41;24;980;854;-732;-366;
1356;-9;39;1031;-41;24;974;915;-671;-366;
1362;-17;42;1035;-41;24;974;915;-671;-366;
1368;-17;42;1029;-43;23;979;854;-671;-305;
1374;-11;42;1029;-42;23;979;793;-610;-366;
1380;-21;41;1027;-42;23;979;793;-610;-366;
1386;-11;41;1029;-42;23;979;854;-671;-305;
1392;-13;44;1025;-42;23;979;854;-671;-305;
1398;-11;39;1029;-42;23;979;915;-671;-305;
1404;-11;39;1027;-42;23;979;915;-671;-305;
1410;-15;39;1031;-44;24;979;915;-671;-305;
1416;-15;42;1029;-44;24;979;976;-671;-305;
1422;-13;41;1025;-40;23;980;976;-671;-305;
1428;-9;41;1031;-39;24;979;915;-671;-366;
1434;-7;39;1027;-41;23;979;793;-671;-244;
1440;-13;41;1025;-41;23;979;793;-671;-244;
1446;-11;42;1031;-41;23;979;915;-549;-366;
1452;-11;42;1029;-40;24;976;915;-549;-366;
1458;-17;41;1029;-41;23;981;915;-671;-366;
1464;-15;42;1029;-41;23;981;915;-671;-366;
1470;-7;39;1025;-41;25;979;915;-671;-366;
1476;-19;42;1029;-41;25;979;854;-610;-305;
1482;-11;41;1027;-42;24;978;854;-610;-305;
1488;-17;41;1023;-43;23;978;915;-671;-305;
1494;-19;41;1025;-43;23;978;793;-732;-244;
1500;-11;41;1029;-43;23;978;793;-732;-244;
1506;-15;42;1029;-43;23;978;854;-610;-305;
1512;-11;41;1027;-44;23;978;854;-610;-305;
1518;-17;42;1023;-43;23;978;915;-610;-366;
1524;-17;39;1029;-43;23;978;915;-610;-366;
1530;-17;42;1025;-42;24;979;915;-732;-366;
1536;-17;42;1025;-42;24;979;915;-793;-366;
1542;-11;42;1031;-42;25;979;915;-793;-366;
1548;-9;41;1027;-44;25;980;915;-793;-305;
1554;-13;39;1031;-43;26;978;976;-732;-366;
1560;-17;44;1029;-43;26;978;976;-732;-366;
1566;-19;42;1035;-43;26;978;976;-671;-366;
1572;-13;41;1025;-42;24;980;976;-671;-366;
1578;-13;41;1027;-42;22;978;915;-549;-244;
1584;-11;44;1033;-42;22;978;915;-549;-244;
1590;-13;39;1029;-42;24;976;854;-610;-366;
1596;-15;44;1025;-42;24;976;915;-732;-366;
1602;-13;39;1031;-41;24;979;915;-732;-366;
1608;-11;42;1025;-44;25;979;915;-732;-305;
1614;-15;41;1025;-41;23;978;915;-671;-244;
1620;-9;39;1029;-41;23;978;915;-671;-244;
1626;-15;41;1033;-41;23;978;854;-610;-366;
1632;-15;41;1031;-42;24;978;854;-610;-366;
1638;-17;39;1027;-42;23;977;854;-732;-366;
1644;-11;37;1029;-42;23;977;854;-732;-366;
1650;-9;46;1027;-42;22;977;915;-671;-305;
1656;-11;42;1027;-42;22;977;976;-732;-305;
1662;-15;42;1031;-42;22;980;976;-732;-305;
1668;-9;41;1031;-44;23;979;793;-732;-366;
1674;-15;41;1029;-44;24;982;915;-671;-488;
1680;-13;42;1031;-44;24;982;915;-671;-488;
1686;-13;41;1033;-44;24;982;854;-671;-305;
1692;-11;42;1027;-43;23;979;854;-671;-305;
1698;-15;44;1029;-44;24;978;915;-732;-366;
1704;-13;39;1025;-44;24;978;915;-732;-366;
1710;-13;39;1029;-40;22;977;854;-671;-366;
1716;-13;42;1023;-40;22;977;854;-671;-366;
1722;-13;44;1027;-40;24;981;854;-671;-366;
1728;-9;41;1027;-42;23;982;915;-732;-366;
1734;-17;33;1033;-41;23;977;854;-732;-366;
1740;-17;42;1033;-42;24;977;854;-732;-305;
1746;-11;41;1031;-42;23;980;793;-671;-366;
1752;-9;41;1029;-42;23;980;793;-671;-366;
